date,rank,id,brand,name,currency,priceNum,price,badge,reviewCount,link
"2026-04-21","123","1045777260","ETUDE","Dear Darling Water Tint - 9 Colors","USD","6.8","US$ 6.80","","8519","https://www.yesstyle.com/en/etude-dear-darling-water-tint-9-colors-05-grape-ade/info.html/pid.1045777260"
"2026-04-21","124","1118209026","mixsoon","Centella Sun Cream","USD","25","US$ 25.00","","3476","https://www.yesstyle.com/en/mixsoon-centella-sun-cream-50g/info.html/pid.1118209026"
"2026-04-21","125","1129917449","Anua","7 Rice Ceramide Hydrating Barrier Serum","USD","22","US$ 22.00","","3932","https://www.yesstyle.com/en/anua-7-rice-ceramide-hydrating-barrier-serum-50ml/info.html/pid.1129917449"
"2026-04-21","126","1124066765","medicube","Collagen Lifting Mask","USD","6","US$ 6.00","","1688","https://www.yesstyle.com/en/medicube-collagen-lifting-mask-27g/info.html/pid.1124066765"
"2026-04-21","127","1100580255","UNLEASHIA","Glitterpedia Eye Palette - 9 Types","USD","26","US$ 26.00","","7111","https://www.yesstyle.com/en/unleashia-glitterpedia-eye-palette-9-types-n-1-all-of-glitter/info.html/pid.1100580255"
"2026-04-21","128","1133078348","Beauty of Joseon","Revive Eye Serum Mini","USD","6.2","US$ 6.20","","686","https://www.yesstyle.com/en/beauty-of-joseon-revive-eye-serum-mini-10ml/info.html/pid.1133078348"
"2026-04-21","129","1130299070","LANEIGE","Lip Glowy Balm - 6 Types","USD","16.3","US$ 16.30","","662","https://www.yesstyle.com/en/laneige-lip-glowy-balm-6-types-sweet-candy/info.html/pid.1130299070"
"2026-04-21","130","1134551762","Anua","Heartleaf 77 Soothing Toner","USD","24.1","US$ 24.10","","9483","https://www.yesstyle.com/en/anua-heartleaf-77-soothing-toner-250ml/info.html/pid.1134551762"
"2026-04-21","131","1125812344","MEDIPEEL","Peptide 9 Volume And Tension Tox Cream Pro","USD","20.2","US$ 20.20","","1452","https://www.yesstyle.com/en/medipeel-peptide-9-volume-and-tension-tox-cream-pro-50g/info.html/pid.1125812344"
"2026-04-21","132","1136172558","SUNGBOON EDITOR","Silk Peptide Intensive Lifting Ampoule","USD","45","US$ 45.00","","390","https://www.yesstyle.com/en/sungboon-editor-silk-peptide-intensive-lifting-ampoule-30ml/info.html/pid.1136172558"
"2026-04-21","133","1137514354","SKIN1004","Madagascar Centella Hyalu-Cica Water-Fit Sun Serum Twin Pack 2pcs Bundle Set","USD","50.4","US$ 50.40","","0","https://www.yesstyle.com/en/skin1004-madagascar-centella-hyalu-cica-water-fit-sun-serum-twin-pack/info.html/pid.1137514354"
"2026-04-21","134","1052684728","COSRX","Salicylic Acid Daily Gentle Cleanser","USD","14.4","US$ 14.40","","8285","https://www.yesstyle.com/en/cosrx-salicylic-acid-daily-gentle-cleanser/info.html/pid.1052684728"
"2026-04-21","135","1134315119","haruharu wonder","Black Rice Moisture Deep Cleansing Oil","USD","25","US$ 25.00","","1385","https://www.yesstyle.com/en/haruharu-wonder-black-rice-moisture-deep-cleansing-oil-150ml/info.html/pid.1134315119"
"2026-04-21","136","1133254182","CELDYQUE","Volufiline 100%","USD","14.7","US$ 14.70","","668","https://www.yesstyle.com/en/celdyque-volufiline-100-10ml/info.html/pid.1133254182"
"2026-04-21","137","1131568454","EQQUALBERRY","Bakuchiol Plumping Serum","USD","24.99","US$ 24.99","","4587","https://www.yesstyle.com/en/eqqualberry-bakuchiol-plumping-serum-30ml/info.html/pid.1131568454"
"2026-04-21","138","1136684590","fwee","Rose Obsession Stay-Fit Lip Tint - 18 Colors","USD","17","US$ 17.00","","426","https://www.yesstyle.com/en/fwee-rose-obsession-stay-fit-lip-tint-18-colors-gw01-honey-rose/info.html/pid.1136684590"
"2026-04-21","139","1112455824","haruharu wonder","Black Rice Bakuchiol Eye Cream","USD","22","US$ 22.00","","4323","https://www.yesstyle.com/en/haruharu-wonder-black-rice-bakuchiol-eye-cream-20ml/info.html/pid.1112455824"
"2026-04-21","140","1132449410","Anua","PDRN Hyaluronic Acid Capsule 100 Serum","USD","28","US$ 28.00","","1370","https://www.yesstyle.com/en/anua-pdrn-hyaluronic-acid-capsule-100-serum-30ml/info.html/pid.1132449410"
"2026-04-21","141","1105987486","mixsoon","Bean Cream","USD","35","US$ 35.00","","2859","https://www.yesstyle.com/en/mixsoon-bean-cream-50ml/info.html/pid.1105987486"
"2026-04-21","142","1133538031","The Ordinary","Glycolic Acid 7% Exfoliating Toner","USD","19.6","US$ 19.60","","728","https://www.yesstyle.com/en/the-ordinary-glycolic-acid-7-exfoliating-toner-100ml/info.html/pid.1133538031"
"2026-04-21","143","1128770343","fwee","3D Voluming Gloss - 21 Colors","USD","17","US$ 17.00","","1551","https://www.yesstyle.com/en/fwee-3d-voluming-gloss-21-colors-b06-scotch-70/info.html/pid.1128770343"
"2026-04-21","144","1127076486","CLIO","Sharp So Simple Waterproof Pencil Liner - 11 Colors","USD","7.8","US$ 7.80","","1490","https://www.yesstyle.com/en/clio-sharp-so-simple-waterproof-pencil-liner-11-colors-07-creamy-ivory/info.html/pid.1127076486"
"2026-04-21","145","1129746067","medicube","Zero Pore Blackhead Mud Mask","USD","25","US$ 25.00","","1706","https://www.yesstyle.com/en/medicube-zero-pore-blackhead-mud-mask-100g/info.html/pid.1129746067"
"2026-04-21","146","1052684693","COSRX","BHA Blackhead Power Liquid","USD","25","US$ 25.00","","5179","https://www.yesstyle.com/en/cosrx-bha-blackhead-power-liquid/info.html/pid.1052684693"
"2026-04-21","147","1133085504","mixsoon","9-Step Trial Kit","USD","4.43","US$ 4.43","","709","https://www.yesstyle.com/en/mixsoon-9-step-trial-kit-9-pcs/info.html/pid.1133085504"
"2026-04-21","148","1060762174","d'Alba","White Truffle First Spray Serum Mini","USD","20","US$ 20.00","","1128","https://www.yesstyle.com/en/dalba-white-truffle-first-spray-serum-mini-50ml/info.html/pid.1060762174"
"2026-04-21","149","1135918971","EQQUALBERRY","NAD+ Peptide Boosting Serum","USD","24.99","US$ 24.99","","1109","https://www.yesstyle.com/en/eqqualberry-nad-peptide-boosting-serum-30ml/info.html/pid.1135918971"
"2026-04-21","150","1113888114","SKIN1004","Madagascar Centella Tea-Trica Relief Ampoule","USD","23.1","US$ 23.10","","3202","https://www.yesstyle.com/en/skin1004-madagascar-centella-tea-trica-relief-ampoule-100ml/info.html/pid.1113888114"
"2026-04-21","151","1120208639","SKIN1004","Madagascar Centella Probio-Cica Essence Toner","USD","21","US$ 21.00","","2339","https://www.yesstyle.com/en/skin1004-madagascar-centella-probio-cica-essence-toner-210ml/info.html/pid.1120208639"
"2026-04-21","152","1128692848","TIRTIR","Mask Fit Make Up Fixer","USD","15","US$ 15.00","","3619","https://www.yesstyle.com/en/tirtir-mask-fit-make-up-fixer-80ml/info.html/pid.1128692848"
"2026-04-21","153","1052684630","COSRX","Aloe Soothing Sun Cream","USD","16","US$ 16.00","","14213","https://www.yesstyle.com/en/cosrx-aloe-soothing-sun-cream-50ml/info.html/pid.1052684630"
"2026-04-21","154","1137473930","Dr.Melaxin","Cemenrete Calcium Volume Multi Balm","USD","38.4","US$ 38.40","","492","https://www.yesstyle.com/en/dr-melaxin-cemenrete-calcium-volume-multi-balm-9g/info.html/pid.1137473930"
"2026-04-21","155","1113064814","SKIN1004","Madagascar Centella Air-Fit Suncream Plus","USD","15.4","US$ 15.40","","1861","https://www.yesstyle.com/en/skin1004-madagascar-centella-air-fit-suncream-plus-50ml/info.html/pid.1113064814"
"2026-04-21","156","1129649866","S.NATURE","Aqua Squalane Moisturizing Cream","USD","21.88","US$ 21.88","","1616","https://www.yesstyle.com/en/s-nature-aqua-squalane-moisturizing-cream-60ml/info.html/pid.1129649866"
"2026-04-21","157","1135918989","Anua","YesStyle Exclusive Double Cleansing Duo Set","USD","36","US$ 36.00","","883","https://www.yesstyle.com/en/anua-yesstyle-exclusive-double-cleansing-duo-set-2-pcs/info.html/pid.1135918989"
"2026-04-21","158","1067104673","I'm from","Mugwort Essence","USD","32.7","US$ 32.70","","3248","https://www.yesstyle.com/en/im-from-mugwort-essence-160ml/info.html/pid.1067104673"
"2026-04-21","159","1117864233","beplain","Mung Bean Cleansing Oil Jumbo","USD","29","US$ 29.00","","1286","https://www.yesstyle.com/en/beplain-mung-bean-cleansing-oil-jumbo-200ml/info.html/pid.1117864233"
"2026-04-21","120","1074112897","ROUND LAB","1025 Dokdo Toner","USD","18.63","US$ 18.63","","4223","https://www.yesstyle.com/en/round-lab-1025-dokdo-toner-200ml/info.html/pid.1074112897"
"2026-04-21","121","1112362628","AROMATICA","Rosemary Root Enhancer","USD","16.3","US$ 16.30","","2342","https://www.yesstyle.com/en/aromatica-rosemary-root-enhancer-new-100ml/info.html/pid.1112362628"
"2026-04-21","122","1105987485","mixsoon","Glacier Water Hyaluronic Acid Serum Jumbo","USD","29","US$ 29.00","","4683","https://www.yesstyle.com/en/mixsoon-glacier-water-hyaluronic-acid-serum-jumbo-300ml/info.html/pid.1105987485"
"2026-04-21","123","1136280232","Dr. Althea","Aqua Marine Jelly Mist","USD","19.9","US$ 19.90","","752","https://www.yesstyle.com/en/dr-althea-aqua-marine-jelly-mist-100ml/info.html/pid.1136280232"
"2026-04-21","124","1124328310","Judydoll","2 IN 1 Highlighter Contour Palette - 3 Colors","USD","16.99","US$ 16.99","","3349","https://www.yesstyle.com/en/judydoll-2-in-1-highlighter-contour-palette-3-colors-02-wood-9g/info.html/pid.1124328310"
"2026-04-21","125","1087081998","Beauty of Joseon","Centella Asiatica Calming Mask","USD","2.5","US$ 2.50","","2049","https://www.yesstyle.com/en/beauty-of-joseon-centella-asiatica-calming-mask-25ml-x-1-pc/info.html/pid.1087081998"
"2026-04-21","126","1131069920","House of Hur","Moist Ampoule Blusher Mini - 9 Colors","USD","9.1","US$ 9.10","","2861","https://www.yesstyle.com/en/house-of-hur-moist-ampoule-blusher-mini-9-colors-01-nude-beige/info.html/pid.1131069920"
"2026-04-21","127","1128135752","SOME BY MI","Cica Peptide Anti Hair Loss Derma Scalp Tonic","USD","20.6","US$ 20.60","","2588","https://www.yesstyle.com/en/some-by-mi-cica-peptide-anti-hair-loss-derma-scalp-tonic-2024-version/info.html/pid.1128135752"
